Permission To Dance,Butter,Film Out,Dynamite,Life Goes On,Blue & Grey,Stay,Fly To My Room,Telepathy,Dis-ease,ON,Black Swan,Fake Love,DNA
1,1,81,101,1,13,22,69,70,72,101,101,10,101
7,1,101,1,28,101,101,101,101,101,101,101,51,85
9,1,101,1,93,101,101,101,101,101,4,57,48,67
27,1,101,2,101,101,101,101,101,101,68,101,71,87
55,1,101,2,101,101,101,101,101,101,101,101,65,98
101,1,101,1,101,101,101,101,101,101,101,101,76,101
101,1,101,2,101,101,101,101,101,101,101,101,101,101
101,7,101,2,101,101,101,101,101,101,101,101,101,101
101,1,101,5,101,101,101,101,101,101,101,101,101,101
101,1,101,7,101,101,101,101,101,101,101,101,101,101
