Permission To Dance,Butter,Film Out,Dynamite,Life Goes On,Blue & Grey,Stay,Fly To My Room,Telepathy,Dis-ease,ON,Black Swan,Fake Love,DNA
1,1,101,51,2,6,20,14,17,22,41,60,101,101
1,1,101,1,2,25,64,33,53,72,1,4,101,101
1,1,101,1,2,29,77,45,68,93,1,7,101,101
2,1,101,1,3,46,101,60,97,101,1,9,101,101
101,1,101,1,5,57,101,76,101,101,3,10,101,101
101,3,101,1,5,56,101,84,101,101,6,7,101,101
101,2,101,1,7,60,101,88,101,101,8,10,101,101
101,3,101,1,7,65,101,92,101,101,9,8,101,101
101,3,101,1,10,70,101,98,101,101,13,15,101,101
101,2,101,1,11,74,101,101,101,101,11,20,101,101
