song,group,views
EXO 엑소 'Don't fight the feeling' MV,EXO,53861867
BTS (방탄소년단) 'Dynamite' Official MV (B-side),BTS,45596902
BTS (방탄소년단) 'Butter (Hotter Remix)' Official MV,BTS,43163081
BTS (방탄소년단) 'Butter' Official MV (Hotter Remix),BTS,42174588
TWICE Heart Shaker M/V,TWICE,41088994
BLACKPINK: Pretty Savage,BLACKPINK,26313375
SHINee 샤이니 'Don't Call Me' MV,SHINee,25654414
BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V TEASER,BLACKPINK,22818911
Red Velvet 레드벨벳 'Bad Boy' MV,Red Velvet,21594339
[쇼! 음악중심 4K] 블랙핑크 -Pretty Savage (BLACKPINK -Pretty Savage) 20201010,BLACKPINK,17746915
TWICE「Wake Me Up」Music Video,TWICE,13831320
Red Velvet 레드벨벳 '피카부 (Peek-A-Boo)' MV,Red Velvet,12969561
TWICE 「Kura Kura」 Music Video,TWICE,12623379
BLACKPINK - ‘Lovesick Girls’ 1011 SBS Inkigayo : NO.1 OF THE WEEK,BLACKPINK,11240582
TWICE 「Perfect World」 Music Video,TWICE,9625473
[BE ORIGINAL] TWICE(트와이스) 'I CAN'T STOP ME' (4K),TWICE,8670886
BIGBANG - 꽃 길 (Flower Road) (ENG SUB ADDED),BIGBANG,6345613
EXO 'Electric Kiss' MV -Short Ver.-,EXO,6217292
EXO 엑소 'Universe' MV,EXO,5739252
EXO 'Electric Kiss' Dance Practice,EXO,3935638
Red Velvet 레드벨벳 '봐 (Look)' Dance Practice,Red Velvet,3021666
COLLEGE KIDS REACT TO K-POP (BTS; MONSTA X; SEVENTEEN; TWICE; Red Velvet),Red Velvet,2403767
COLLEGE KIDS REACT TO K-POP (BTS; MONSTA X; SEVENTEEN; TWICE; Red Velvet),SEVENTEEN,2403767
SHINee 샤이니 'Don't Call Me' The Performance Stage,SHINee,2087381
[SEVENTEEN - HOME;RUN] Comeback Stage | KPOP TV Show | M COUNTDOWN 201022 EP.687,SEVENTEEN,1821838
[BREAKING] SHINee’s Jonghyun is found dead in his apartment,SHINee,246835
,GFRIEND,0
,Girls' Generation,0
