Permission To Dance,Butter,Film Out,Dynamite,Life Goes On,Blue & Grey,Stay,Fly To My Room,Telepathy,Dis-ease,ON,Black Swan,Fake Love,DNA
1,1,5,101,1,9,16,22,28,30,101,101,101,101
5,1,54,101,16,101,101,101,101,101,101,101,101,101
6,2,91,101,41,101,101,101,101,101,101,101,101,101
8,2,101,2,77,101,101,101,101,101,101,101,101,101
15,2,101,2,101,101,101,101,101,101,101,101,101,101
101,3,101,1,86,101,101,101,101,101,101,101,101,101
101,4,101,2,69,101,101,101,101,101,101,101,101,101
101,6,101,3,84,101,101,101,101,101,101,101,101,101
101,6,101,1,88,101,101,101,101,101,101,101,101,101
101,8,101,1,98,101,101,101,101,101,101,101,101,101
