song,group,views
BTS (방탄소년단) 'Butter' Official MV,BTS,14.432482802673505
BTS (방탄소년단) 'Dynamite' Official MV,BTS,12.698985693694672
BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,BLACKPINK,10.085984724761756
BTS (방탄소년단) 'Life Goes On' Official MV,BTS,8.2216336869215
BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,7.679211184805703
BTS (방탄소년단) 'FAKE LOVE' Official MV,BTS,6.714460568426271
TWICE Alcohol-Free M/V,TWICE,4.467753145559876
TWICE I CAN'T STOP ME M/V,TWICE,4.093338279730252
TWICE What is Love? M/V,TWICE,3.782444923541206
BTS (방탄소년단) 'Film out' Official MV,BTS,3.6320880916315126
