song,group,views,id
EXO 엑소 'Don't fight the feeling' MV,EXO,2.9400103837392666,42fR3oINF3KfXCDtheoNiY
BTS (방탄소년단) 'Dynamite' Official MV (B-side),BTS,2.48887334979201,4saklk6nie3yiGePpBwUoc
BTS (방탄소년단) 'Butter (Hotter Remix)' Official MV,BTS,2.35602502108178,2bgTY4UwhfBYhGT4HUYStN
BTS (방탄소년단) 'Butter' Official MV (Hotter Remix),BTS,2.3020688579162223,2bgTY4UwhfBYhGT4HUYStN
TWICE Heart Shaker M/V,TWICE,2.242812508103375,52FCAZn0YEkZfF0BtiAUMW
BLACKPINK: Pretty Savage,BLACKPINK,1.4362962154881342,1XnpzbOGptRwfJhZgLbmSr
SHINee 샤이니 'Don't Call Me' MV,SHINee,1.4003273141041697,462OPOKW0VMbvW9H7HIb0U
BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V TEASER,BLACKPINK,1.2455534689434766,2J4P46vCFm1rPkNkp9pZWX
Red Velvet 레드벨벳 'Bad Boy' MV,Red Velvet,1.1787111072474672,5GKwq4sO5ZHKuWaDmdwMQc
[쇼! 음악중심 4K] 블랙핑크 -Pretty Savage (BLACKPINK -Pretty Savage) 20201010,BLACKPINK,0.9687022987773176,1XnpzbOGptRwfJhZgLbmSr
TWICE「Wake Me Up」Music Video,TWICE,0.7549724264259274,0CvJiFydKzLSQUn6McFPrb
Red Velvet 레드벨벳 '피카부 (Peek-A-Boo)' MV,Red Velvet,0.7079339454115066,42tFTth2jcF7iSo0RBjfJF
TWICE 「Kura Kura」 Music Video,TWICE,0.6890378556294047,0SiX8tNiIZskZrPiAh6XxX
BLACKPINK - ‘Lovesick Girls’ 1011 SBS Inkigayo : NO.1 OF THE WEEK,BLACKPINK,0.6135588987153507,4Ws314Ylb27BVsvlZOy30C
TWICE 「Perfect World」 Music Video,TWICE,0.5253993621944435,0hpYo5x9iNMGz52fRrflbT
[BE ORIGINAL] TWICE(트와이스) 'I CAN'T STOP ME' (4K),TWICE,0.4732939330940651,37ZtpRBkHcaq6hHy0X98zn
BIGBANG - 꽃 길 (Flower Road) (ENG SUB ADDED),BIGBANG,0.34637061710450695,5tmKSkKHNVrxh4Fctj2TdS
EXO 'Electric Kiss' MV -Short Ver.-,EXO,0.3393663097259342,4W0wSLXqn0L3XneeBC344O
EXO 엑소 'Universe' MV,EXO,0.3132728480224488,5ptViFrfoKdGPTdd9oQCwr
EXO 'Electric Kiss' Dance Practice,EXO,0.21482390476065077,4W0wSLXqn0L3XneeBC344O
Red Velvet 레드벨벳 '봐 (Look)' Dance Practice,Red Velvet,0.16493541555460553,5ptViFrfoKdGPTdd9oQCwr
SHINee 샤이니 'Don't Call Me' The Performance Stage,SHINee,0.11393815618794005,462OPOKW0VMbvW9H7HIb0U
